id,temas,trecho_campo9
E01,L5,"""técnicas alternativas como focus groups, questionários e estudo de documentação não são cobertas e permanecem em aberto"""
E02,L1 L5,"""planejam testar e validar o framework em outras soluções""; ""elicitação, análise, especificação e gestão de requisitos são explicitamente deixadas para pesquisa e desenvolvimento futuros"""
E09,L1 L2 L6,"""ampliar a amostra de projetos""; ""análise comparativa com projetos que não utilizaram prototipação""; ""explorar ferramentas de inteligência artificial"""
E12,L1 L3,"""investigar a confiabilidade do método e aplicar verificações e validações pós-implementação em projetos reais"""
E21,L3,"""realizar a transferência das técnicas para a indústria"""
E23,L4,"""adaptar técnicas baseadas em conceitos de DT às particularidades dos sistemas IoT"""
E25,L1 L4,"""estudo de acompanhamento com os clínicos […] para verificar se o design funciona na prática""; ""confirmar a aplicabilidade fora da Bélgica"""
E27,L1 L4,"""argumentam que o método deveria aumentar o sucesso […] sem apresentar essa verificação""; ""outros domínios, como saúde e pesca"""
E29,L1 L3 L4,"""validar os achados com amostras maiores""; ""em contextos organizacionais diversos""; ""adaptar as técnicas a diferentes escalas de projeto e domínios"""
E32,L2 L4,"""o projeto pode servir de objeto de comparação com pesquisas futuras""; ""aplicar os conceitos e artefatos do DSC na elaboração de outros jogos educacionais"""
E36,L1 L3 L6,"""novos estudos experimentais para garantir a qualidade da abordagem""; ""visando sua transferência para a indústria""; ""concluir a versão web"""
E38,L5 L6,"""não há acordo na literatura sobre quando e como incluir práticas de UCD no ciclo de vida ágil""; ""construindo uma ferramenta para elaborar automaticamente os diagramas"""
E40,L2,"""comparar o DT com outras abordagens […] lean start-up, lean inception e customer development"""
E43,L4,"""investigar a escalabilidade e a adaptabilidade do CSD em diferentes contextos sociais, culturais e econômicos"""
E45,L1 L3 L6,"""avaliação empírica adicional na indústria""; ""integrar ferramentas que apoiem a análise semiautomática de requisitos"""
E46,L1,"""avaliá-la a cada estágio com pelo menos 20 a 25 participantes"""
E47,L1 L2 L6,"""validar o framework integrado localizando um estudo de caso""; ""estudo comparativo de efetividade""; ""desenvolver uma Prioritization Tool"""
E51,L1,"""as validações das iterações subsequentes informarão a especificação final da plataforma"""
E57,L1 L6,"""experimento online em que participantes agrupariam e nomeariam as categorias […] para validar o agrupamento proposto""; ""uso de métodos de tomada de decisão multicritério como PROMETHEE"""
E58,—,"""Nenhuma agenda de pesquisa adicional é apresentada"""
E63,L1 L4,"""implementação e validação dos frameworks propostos""; ""em cidades urbanas e periurbanas"""
E64,L1 L2,"""avaliar e apresentar os resultados do jogo criado""; ""identificar vantagens e desvantagens do SAwD em comparação com outros processos"""
E67,L1 L4,"""avaliar o uso do artefato e seus efeitos""; ""explorar o uso dos resultados em outros domínios de e-learning"""
E70,—,"""Não relatado; o artigo encerra […] sem enunciar agenda de pesquisa futura"""
E72,L4 L5,"""taxonomia de emoções que cubra todas as emoções""; ""aprofundar a investigação do vínculo entre requisitos emocionais e os demais tipos de requisitos"""
E74,L1 L3,"""investigar a adoção de DT visando avaliar o potencial da abordagem""; ""replicar o estudo em outros países e contextos e com número maior de profissionais"""
E75,L1 L3,"""instalação do sistema em ambiente real, já que alguns desafios só aparecerão com o sistema implantado"""
E79,L3 L4,"""contextos adicionais, tanto educacionais quanto empresariais"""
