id,temporal,participacao,mediacao,seq,ite,col,art,trecho_campo5
E01,Iterativa,Não explicitada,Interação direta,0,1,0,0,"""A articulação é simultânea e iterativa, com a ER embutida no processo de design"""
E02,Sequencial,Não explicitada,Interação direta,1,0,0,0,"""A integração é sequencial e a montante da ER: o Design Thinking é adotado como um novo estágio de pré-levantamento de requisitos"""
E09,Iterativa,Colaborativa,Por artefatos,0,1,1,1,"""A integração é iterativa e colaborativa por artefatos compartilhados, com o protótipo operando como artefato-ponte"""
E12,Sequencial,Não explicitada,Por artefatos,1,0,0,1,"""A integração se dá por artefatos compartilhados […] O padrão é sequencial em duas atividades encadeadas"""
E21,Sequencial,Não explicitada,Por artefatos,1,0,0,1,"""O padrão de integração é sequencial e por artefato compartilhado"""
E23,Sequencial,Não explicitada,Por artefatos,1,0,0,1,"""[INFERÊNCIA] O padrão é sequencial e mediado por artefatos compartilhados"""
E25,Iterativa,Não explicitada,Por artefatos,0,1,0,1,"""O padrão é simultâneo e iterativo por prototipação: a análise de requisitos não antecede o design, mas é executada dentro dele"""
E27,Iterativa,Não explicitada,Por artefatos,0,1,0,1,"""A integração é iterativa e cíclica, mediada por artefatos compartilhados"""
E29,Sequencial,Não explicitada,Por artefatos,1,0,0,1,"""A articulação é sequencial e por artefatos encadeados"""
E32,Não explicitada,Colaborativa,Por artefatos,0,0,1,1,"""A integração é colaborativa e mediada por artefatos compartilhados […] a elicitação de requisitos não é etapa separada, mas produto das oficinas de design"""
E36,Não explicitada,Não explicitada,Por artefatos,0,0,0,1,"""[INFERÊNCIA] O padrão é de integração por artefato compartilhado de apoio à decisão"""
E38,Iterativa,Não explicitada,Por artefatos,0,1,0,1,"""[INFERÊNCIA] O padrão é iterativo e por artefato compartilhado"""
E40,Híbrida,Não explicitada,Por artefatos,1,1,0,1,"""[INFERÊNCIA] O padrão é sequencial por fases, com iteração entre os dois ciclos de pesquisa-ação e ancoragem em artefatos compartilhados"""
E43,Iterativa,Colaborativa,Por artefatos,0,1,1,1,"""O padrão é iterativo e colaborativo por artefatos compartilhados, com colaboração deliberadamente não colocada"""
E45,Iterativa,Colaborativa,Por artefatos,0,1,1,1,"""[INFERÊNCIA] O padrão de integração é colaborativo e por artefatos compartilhados, com caráter iterativo"""
E46,Sequencial,Não explicitada,Interação direta,1,0,0,0,"""A integração é sequencial e cumulativa, em cadeia de três etapas cujas saídas alimentam a etapa seguinte"""
E47,Híbrida,Não explicitada,Interação direta,1,1,0,0,"""A integração é sequencial-iterativa por posicionamento de fase […] e depois retorna ciclicamente a cada Sprint"""
E51,Iterativa,Colaborativa,Por artefatos,0,1,1,1,"""O padrão é iterativo e colaborativo, com o protótipo funcionando como artefato compartilhado de elicitação"""
E57,Não explicitada,Não explicitada,Por artefatos,0,0,0,1,"""A integração é por artefatos compartilhados e ocorre em nível meta"""
E58,Sequencial,Não explicitada,Por artefatos,1,0,0,1,"""[INFERÊNCIA] O padrão é sequencial e por artefatos compartilhados […] sem retorno documentado dos casos de uso aos participantes"""
E63,Iterativa,Colaborativa,Interação direta,0,1,1,0,"""A integração é colaborativa e iterativa por ciclos de co-design"""
E64,Sequencial,Não explicitada,Por artefatos,1,0,0,1,"""A integração é sequencial e por artefatos encadeados dentro de um único workshop semiparticipativo"""
E67,Não explicitada,Não explicitada,Por artefatos,0,0,0,1,"""A integração é por artefato compartilhado: a proto-persona […] opera como instrumento de elicitação e registro de requisitos"""
E70,Iterativa,Colaborativa,Por artefatos,0,1,1,1,"""O padrão é iterativo e colaborativo, com integração por artefatos compartilhados"""
E72,Sequencial,Não explicitada,Por artefatos,1,0,0,1,"""A articulação é sequencial e mediada por artefatos compartilhados [INFERÊNCIA, com base na ordem descrita em goal modeling is the next step after eliciting]"""
E74,Não explicitada,Colaborativa,Interação direta,0,0,1,0,"""O padrão descrito é colaborativo e de suporte: o Design Thinking […] opera como camada de compreensão do problema que alimenta as atividades de ER"""
E75,Híbrida,Não explicitada,Interação direta,1,1,0,0,"""O padrão é sequencial em fases com validação iterativa nos estágios iniciais"""
E79,Não explicitada,Colaborativa,Por artefatos,0,0,1,1,"""A integração é colaborativa e mediada por artefatos compartilhados: o DT não antecede a ER, ele é o próprio veículo em que a ER acontece"""
