tema,id
"Custo, tempo e esforço de aplicação",E29
"Custo, tempo e esforço de aplicação",E40
"Custo, tempo e esforço de aplicação",E43
"Custo, tempo e esforço de aplicação",E47
"Custo, tempo e esforço de aplicação",E64
"Custo, tempo e esforço de aplicação",E74
"Custo, tempo e esforço de aplicação",E79
Dependência de especialistas/expertise multidisciplinar,E09
Dependência de especialistas/expertise multidisciplinar,E27
Dependência de especialistas/expertise multidisciplinar,E40
Dependência de especialistas/expertise multidisciplinar,E74
Engajamento e disponibilidade de stakeholders,E27
Engajamento e disponibilidade de stakeholders,E32
Engajamento e disponibilidade de stakeholders,E43
Engajamento e disponibilidade de stakeholders,E47
Engajamento e disponibilidade de stakeholders,E64
Engajamento e disponibilidade de stakeholders,E70
Engajamento e disponibilidade de stakeholders,E74
"Evidência empírica limitada das propostas (campo 8/9, transversal)",E02
"Evidência empírica limitada das propostas (campo 8/9, transversal)",E38
"Evidência empírica limitada das propostas (campo 8/9, transversal)",E45
"Evidência empírica limitada das propostas (campo 8/9, transversal)",E46
"Evidência empírica limitada das propostas (campo 8/9, transversal)",E47
"Evidência empírica limitada das propostas (campo 8/9, transversal)",E63
"Evidência empírica limitada das propostas (campo 8/9, transversal)",E67
"Evidência empírica limitada das propostas (campo 8/9, transversal)",E79
"Formalismo, curva de aprendizado e artefatos não lidos",E01
"Formalismo, curva de aprendizado e artefatos não lidos",E12
"Formalismo, curva de aprendizado e artefatos não lidos",E32
"Formalismo, curva de aprendizado e artefatos não lidos",E38
"Formalismo, curva de aprendizado e artefatos não lidos",E46
"Formalismo, curva de aprendizado e artefatos não lidos",E67
Inadequação de técnicas genéricas ao domínio,E21
Inadequação de técnicas genéricas ao domínio,E23
Inadequação de técnicas genéricas ao domínio,E36
Inadequação de técnicas genéricas ao domínio,E57
Inadequação de técnicas genéricas ao domínio,E72
Resistência e cultura organizacional,E40
Resistência e cultura organizacional,E74
"Restrições contextuais (privacidade, regulação, vulnerabilidade)",E25
"Restrições contextuais (privacidade, regulação, vulnerabilidade)",E43
"Restrições contextuais (privacidade, regulação, vulnerabilidade)",E51
"Restrições contextuais (privacidade, regulação, vulnerabilidade)",E58
"Restrições contextuais (privacidade, regulação, vulnerabilidade)",E63
"Restrições contextuais (privacidade, regulação, vulnerabilidade)",E70
"Restrições contextuais (privacidade, regulação, vulnerabilidade)",E75
